,sgRNA
5829,['PGLYRP4']
5830,[]
5831,[]
5832,['EPX']
5833,[]
5834,['LSAMP']
5835,['GMCL1']
5836,['VDAC2']
5837,['YEATS2']
5838,[]
5839,['TYK2']
5840,['POMT2']
5841,[]
5842,[]
5843,['TEX51']
5844,['ZNF665']
5845,['MPP1']
5846,['EIF3E']
5847,[]
5848,[]
5849,['COL28A1']
5850,['DUOXA1']
5851,[]
5852,['ARRDC1']
5853,[]
5854,['SPATA18']
5855,['SPATA7']
5856,['ATF6B']
5857,"['ENSCSAG00000018327.1', 'ENSCSAG00000019477.1']"
5858,"['KRT5', 'ENSCSAG00000005716.1']"
5859,[]
5860,['ANKRD23']
5861,[]
5862,['RASA1']
5863,[]
5864,[]
5865,['OCIAD1']
5866,[]
5867,[]
5868,[]
5869,[]
5870,['CCDC141']
5871,[]
5872,['GPNMB']
5873,['TIGIT']
5874,[]
5875,[]
5876,[]
5877,['YTHDC2']
5878,[]
5879,['SOHLH1']
5880,['ENSCSAG00000007314.1']
5881,['ADGRL4']
5882,['YIF1B']
5883,[]
5884,[]
5885,[]
5886,[]
5887,[]
5888,['RRP1B']
5889,[]
5890,['TNRC6B']
5891,['ARHGAP42']
5892,[]
5893,[]
5894,['ENSCSAG00000007705.1']
5895,['NUP93']
5896,[]
5897,['PTRHD1']
5898,['SUGCT']
5899,['ENSCSAG00000019761.1']
5900,['ENSCSAG00000007578.1']
5901,[]
5902,['RGP1']
5903,['NECAP1']
5904,['IL7']
5905,['WDR83OS']
5906,[]
5907,['ST6GAL1']
5908,['CCR8']
5909,[]
5910,['CPSF6']
5911,['OLFML2B']
5912,[]
5913,[]
5914,['CREM']
5915,[]
5916,['CYREN']
5917,[]
5918,['TSPAN3']
5919,[]
5920,[]
5921,[]
5922,['SLITRK4']
5923,['GNB1']
5924,[]
5925,[]
5926,[]
5927,['ENSCSAG00000003367.1']
5928,[]
5929,[]
5930,[]
5931,[]
5932,[]
5933,[]
5934,['FAM171A1']
5935,[]
5936,[]
5937,['ENSCSAG00000000791.1']
5938,['MAGEB3']
5939,['CTSV']
5940,[]
5941,[]
5942,['SLC35A5']
5943,[]
5944,[]
5945,['FAM219A']
5946,[]
5947,['BBOX1']
5948,[]
5949,['TLN1']
5950,[]
5951,[]
5952,['NECTIN3']
5953,['CDR2']
5954,['TNFRSF13B']
5955,['PCDH19']
5956,[]
5957,[]
5958,[]
5959,['RASGRF1']
5960,[]
5961,[]
5962,['SLC25A2']
5963,['HUWE1']
5964,['FHDC1']
5965,[]
5966,[]
5967,[]
5968,[]
5969,[]
5970,[]
5971,['OR2AJ1']
5972,['OR1A1']
5973,[]
5974,['LRRC25']
5975,[]
5976,['ZFYVE9']
5977,[]
5978,['ZNF69']
5979,['ENSCSAG00000015603.1']
5980,[]
5981,[]
5982,[]
5983,[]
5984,[]
5985,['CACNG3']
5986,['THBS4']
5987,['CARD6']
5988,[]
5989,[]
5990,[]
5991,[]
5992,[]
5993,[]
5994,['UQCRC1']
5995,['ENSCSAG00000009711.1']
5996,[]
5997,[]
5998,[]
5999,['PP2D1']
6000,[]
6001,[]
6002,[]
6003,['ZFP62']
6004,['ZNF691']
6005,['ACADS']
6006,[]
6007,['PRR23C']
6008,[]
6009,[]
6010,[]
6011,[]
6012,[]
6013,[]
6014,[]
6015,[]
6016,[]
6017,[]
6018,[]
6019,['DIP2B']
6020,[]
6021,['ENSCSAG00000013451.1']
6022,[]
6023,[]
6024,[]
6025,['KCNMB3']
6026,['TCIRG1']
6027,"['ENSCSAG00000001633.1', 'ENSCSAG00000017744.1']"
6028,[]
6029,[]
6030,['CENPL']
6031,['OR4S1']
6032,[]
6033,[]
6034,[]
6035,[]
6036,['STIM2']
6037,[]
6038,[]
6039,['LPAR1']
6040,[]
6041,['TSPYL4']
6042,[]
6043,['ENSCSAG00000019394.1']
6044,[]
6045,['TMOD3']
6046,[]
6047,['ZNF567']
6048,[]
6049,['RCAN1']
6050,[]
6051,[]
6052,[]
6053,['TRIOBP']
6054,['ENSCSAG00000007142.1']
6055,[]
6056,[]
6057,[]
6058,[]
6059,[]
6060,['ZNF700']
6061,[]
6062,['SNTG1']
6063,[]
6064,[]
6065,['MED10']
6066,['RBM24']
6067,[]
6068,[]
6069,['NLE1']
6070,[]
6071,['ZNF414']
6072,['NXT1']
6073,['MYRF']
6074,[]
6075,[]
6076,[]
6077,[]
6078,['MOGS']
6079,[]
6080,[]
6081,['LNPK']
6082,[]
6083,[]
6084,[]
6085,[]
6086,[]
6087,[]
6088,[]
6089,[]
6090,[]
6091,['CLINT1']
6092,[]
6093,[]
6094,[]
6095,[]
6096,[]
6097,[]
6098,['SCFD2']
6099,[]
6100,[]
6101,['SCD']
6102,[]
6103,[]
6104,[]
6105,[]
6106,['HMGB2']
6107,[]
6108,['ZC3H18']
6109,[]
6110,[]
6111,['FGD3']
6112,['RFXAP']
6113,['MYBPC3']
6114,['FAM43A']
6115,[]
6116,['CLIC5']
6117,[]
6118,['ENSCSAG00000010694.1']
6119,[]
6120,['CAMTA1']
6121,['DXO']
6122,['SBDS']
6123,[]
6124,[]
6125,['ENSCSAG00000019310.1']
6126,['ENSCSAG00000017783.1']
6127,[]
6128,[]
6129,[]
6130,['ARHGAP28']
6131,['CACNB1']
6132,[]
6133,['TGM5']
6134,[]
6135,[]
6136,[]
6137,[]
6138,['ABCG5']
6139,[]
6140,[]
6141,['C8orf37']
6142,['ZNF2']
6143,['HIGD1B']
6144,['VWA3B']
6145,['TEX52']
6146,[]
6147,[]
6148,[]
6149,['SCUBE2']
6150,[]
6151,['GALNT1']
6152,['TMPRSS11E']
6153,['MCOLN1']
6154,[]
6155,['HEATR5A']
6156,[]
6157,['ENSCSAG00000018482.1']
6158,[]
6159,[]
6160,[]
6161,[]
6162,['ITGA2B']
6163,['IFNA6']
6164,[]
6165,[]
6166,[]
6167,[]
6168,[]
6169,[]
6170,[]
6171,['IL2RA']
6172,['TEKT3']
6173,[]
6174,[]
6175,['TERT']
6176,['AGBL2']
6177,[]
6178,[]
6179,[]
6180,[]
6181,[]
6182,[]
6183,['ENSCSAG00000002398.1']
6184,['ABCA9']
6185,['OPN3']
6186,[]
6187,[]
6188,['CHEK1']
6189,['SLC45A3']
6190,[]
6191,['CRYBA4']
6192,['ZBED1']
6193,[]
6194,['ENSCSAG00000016685.1']
6195,[]
6196,[]
6197,[]
6198,['IL17REL']
6199,[]
6200,['DLG5']
6201,[]
6202,['IRAK1']
6203,[]
6204,[]
6205,[]
6206,['BACE2']
6207,[]
6208,[]
6209,['PXDNL']
6210,[]
6211,[]
6212,[]
6213,[]
6214,[]
6215,['ENSCSAG00000005233.1']
6216,"['ENY2', 'ENSCSAG00000019314.1']"
6217,[]
6218,['HSF2']
6219,['BCO2']
6220,[]
6221,['CD83']
6222,['CDH15']
6223,[]
6224,[]
6225,[]
6226,['NABP2']
6227,['ZNF436']
6228,[]
6229,['ZNF473']
6230,[]
6231,[]
6232,[]
6233,[]
6234,[]
6235,['DCLRE1C']
6236,[]
6237,[]
6238,['KPNA6']
6239,[]
6240,[]
6241,[]
6242,[]
6243,[]
6244,[]
6245,[]
6246,['WSCD1']
6247,[]
6248,['CATSPERG']
6249,[]
6250,[]
6251,[]
6252,['HMBS']
6253,['ENSCSAG00000017547.1']
6254,[]
6255,[]
6256,['SFMBT2']
6257,[]
6258,['PHF20']
6259,[]
6260,['MPZL1']
6261,['INPPL1']
6262,[]
6263,['ENSCSAG00000004370.1']
6264,['KCTD4']
6265,[]
6266,[]
6267,[]
6268,[]
6269,[]
6270,[]
6271,[]
6272,[]
6273,['MED30']
6274,['RIMS3']
6275,['ACOX1']
6276,[]
6277,[]
6278,[]
6279,[]
6280,['ZNF813']
6281,[]
6282,['BTBD7']
6283,[]
6284,[]
6285,[]
6286,['LSP1']
6287,[]
6288,[]
6289,['DMPK']
6290,[]
6291,[]
6292,[]
6293,[]
6294,[]
6295,[]
6296,[]
6297,[]
6298,[]
6299,[]
6300,[]
6301,[]
6302,[]
6303,['SNX13']
6304,['POLR3B']
6305,['ZBTB25']
6306,['LHX2']
6307,['ANXA5']
6308,[]
6309,[]
6310,['CCDC17']
6311,['NUP37']
6312,[]
6313,[]
6314,['GEN1']
6315,['ENSCSAG00000001379.1']
6316,['SNX24']
6317,[]
6318,[]
6319,[]
6320,[]
6321,['SLC16A11']
6322,[]
6323,[]
6324,[]
6325,[]
6326,['ITGA2B']
6327,['SOCS4']
6328,['FSIP1']
6329,['PDCL']
6330,['DHDH']
6331,[]
6332,['PEX11B']
6333,[]
6334,['ENSCSAG00000011464.1']
6335,[]
6336,"['NDUFA4', 'ENSCSAG00000019763.1']"
6337,['ENSCSAG00000019514.1']
6338,['CHD9']
6339,[]
6340,[]
6341,['SLC6A16']
6342,[]
6343,[]
6344,[]
6345,[]
6346,[]
6347,['RASSF7']
6348,[]
6349,['MBD5']
6350,[]
6351,['BCCIP']
6352,['SNAPC2']
6353,[]
6354,[]
6355,['ZNF227']
6356,['MAGEH1']
6357,['GAS8']
6358,[]
6359,[]
6360,[]
6361,[]
6362,['CHD1L']
6363,['CALD1']
6364,[]
6365,[]
6366,[]
6367,['HPGDS']
6368,['EFCAB5']
6369,[]
6370,['RPL5']
6371,[]
6372,[]
6373,['EFCAB14']
6374,['ADAM7']
6375,[]
6376,['C2CD5']
6377,['FBXW7']
6378,['DROSHA']
6379,[]
6380,[]
6381,[]
6382,[]
6383,[]
6384,['FAR1']
6385,[]
6386,['RRP15']
6387,['CADM4']
6388,['RAPGEF1']
6389,[]
6390,[]
6391,[]
6392,['PYDC2']
6393,['ENSCSAG00000001616.1']
6394,['NCOA5']
6395,[]
6396,[]
6397,['GPR22']
6398,['ATG10']
6399,[]
6400,['PIK3C3']
6401,['DGKH']
6402,[]
6403,[]
6404,[]
6405,[]
6406,['ZGLP1']
6407,[]
6408,['C1orf158']
6409,[]
6410,[]
6411,['PRRT2']
6412,['NGFR']
6413,[]
6414,[]
6415,[]
6416,['PAM']
6417,['PHYHD1']
6418,[]
6419,['PJA2']
6420,[]
6421,[]
6422,[]
6423,[]
6424,[]
6425,[]
6426,[]
6427,['DNAAF1']
6428,"['ENSCSAG00000005547.1', 'ENSCSAG00000018969.1']"
6429,['BBS12']
6430,[]
6431,['ENSCSAG00000006213.1']
6432,['ENSCSAG00000000425.1']
6433,[]
6434,[]
6435,[]
6436,['PMP2']
6437,['MXD1']
6438,[]
6439,[]
6440,['UNC50']
6441,[]
6442,['SESN2']
6443,[]
6444,[]
6445,[]
6446,['GALNT2']
6447,[]
6448,[]
6449,[]
6450,[]
6451,['WDTC1']
6452,['BOLL']
6453,[]
6454,['SERPINB9']
6455,['IMPA2']
6456,[]
6457,[]
6458,[]
6459,[]
6460,['IFT140']
6461,['C10orf120']
6462,['TTBK2']
6463,[]
6464,[]
6465,['HAAO']
6466,['PINX1']
6467,[]
6468,['PLEKHA7']
6469,[]
6470,[]
6471,[]
6472,[]
6473,['RALGPS2']
6474,['RHCG']
6475,[]
6476,['RNF25']
6477,[]
6478,[]
6479,[]
6480,['ARL14EP']
6481,[]
6482,[]
6483,['CCDC62']
6484,[]
6485,[]
6486,[]
6487,[]
6488,['ENSCSAG00000010315.1']
6489,[]
6490,[]
6491,['CARD19']
6492,['SMARCB1']
6493,[]
6494,[]
6495,[]
6496,['WDR44']
6497,[]
6498,[]
6499,[]
6500,[]
6501,['ENSCSAG00000007701.1']
6502,[]
6503,[]
6504,['TTC6']
6505,[]
6506,[]
6507,[]
6508,['PPARG']
6509,[]
6510,['ENSCSAG00000018403.1']
6511,['NIPA2']
6512,[]
6513,[]
6514,['FAM221A']
6515,[]
6516,['HACE1']
6517,[]
6518,['ENSCSAG00000018591.1']
6519,['RTCA']
6520,['HYAL4']
6521,['TIGD7']
6522,[]
6523,['SERP2']
6524,[]
6525,[]
6526,[]
6527,[]
6528,[]
6529,['ZFAND1']
6530,[]
6531,['ZSCAN4']
6532,[]
6533,[]
6534,['UTY']
6535,[]
6536,[]
6537,[]
6538,[]
6539,['PIK3C2A']
6540,[]
6541,[]
6542,['IRX5']
6543,[]
6544,[]
6545,[]
6546,[]
6547,[]
6548,[]
6549,[]
6550,['ENSCSAG00000000040.1']
6551,[]
6552,[]
6553,['ANKRD40']
6554,['RAB19']
6555,['RESF1']
6556,['PDZD9']
6557,[]
6558,['TMEFF2']
6559,[]
6560,[]
6561,['RIPK1']
6562,['INKA1']
6563,"['ENSCSAG00000001417.1', 'ENSCSAG00000018855.1']"
6564,[]
6565,[]
6566,[]
6567,[]
6568,[]
6569,[]
6570,['ANKRD33']
6571,[]
6572,[]
6573,[]
6574,[]
6575,[]
6576,[]
6577,['TAB3']
6578,[]
6579,['GPT']
6580,['SLC4A8']
6581,['PTPN3']
6582,['ANKS3']
6583,[]
6584,[]
6585,['VIM']
6586,[]
6587,['METTL9']
6588,['ENSCSAG00000018422.1']
6589,[]
6590,['FANCG']
6591,[]
6592,[]
6593,[]
6594,['LCOR']
6595,[]
6596,[]
6597,['NDUFB10']
6598,[]
6599,['WFDC5']
6600,[]
6601,['PIP5K1B']
6602,[]
6603,[]
6604,[]
6605,['TMEM45B']
6606,[]
6607,[]
6608,[]
6609,['ENSCSAG00000013707.1']
6610,[]
6611,['C11orf91']
6612,[]
6613,[]
6614,[]
6615,[]
6616,['HSF1']
6617,['PRICKLE1']
6618,[]
6619,[]
6620,['UCP2']
6621,['CLC']
6622,['MAN2A2']
6623,[]
6624,[]
6625,[]
6626,['TMEM72']
6627,['SYNDIG1']
6628,['ENSCSAG00000012766.1']
6629,['E2F7']
6630,[]
6631,[]
6632,['ZBED4']
6633,[]
6634,[]
6635,[]
6636,['MRNIP']
6637,['ENSCSAG00000014919.1']
6638,['CFAP44']
6639,[]
6640,['CATSPERZ']
6641,[]
6642,[]
6643,['ENSCSAG00000018299.1']
6644,['TRIM16']
6645,[]
6646,['TIGD5']
6647,['HIP1']
6648,['MICA']
6649,[]
6650,[]
6651,['IER2']
6652,['TAL2']
6653,[]
6654,[]
6655,[]
6656,['ZNRD2']
6657,[]
6658,[]
6659,['CAMLG']
6660,[]
6661,['RNF44']
6662,[]
6663,['ENTPD4']
6664,[]
6665,[]
6666,[]
6667,[]
6668,[]
6669,[]
6670,[]
6671,[]
6672,['NIN']
6673,['ENSCSAG00000008025.1']
6674,['SLCO1B1']
6675,['ATL3']
6676,['PKD1']
6677,[]
6678,[]
6679,[]
6680,['AKNAD1']
6681,['ABCC9']
6682,['UBN2']
6683,['TWF1']
6684,['CCT6B']
6685,[]
6686,['ITGB6']
6687,[]
6688,[]
6689,[]
6690,[]
6691,[]
6692,['SAMD7']
6693,[]
6694,[]
6695,[]
6696,[]
6697,['ENSCSAG00000013232.1']
6698,[]
6699,['ITGAX']
6700,[]
6701,[]
6702,[]
6703,['MTRF1']
6704,[]
6705,['FMR1NB']
6706,[]
6707,[]
6708,[]
6709,[]
6710,['R3HDML']
6711,[]
6712,[]
6713,['ZNF853']
6714,['GOLGA4']
6715,[]
6716,['PLEKHG4']
6717,[]
6718,['PJVK']
6719,[]
6720,[]
6721,[]
6722,['LRRC7']
6723,[]
6724,['PDK4']
6725,['MAP4K3']
6726,['CAMLG']
6727,[]
6728,['IL22RA2']
6729,[]
6730,[]
6731,[]
6732,[]
6733,['ND5']
6734,[]
6735,['ZNF213']
6736,[]
6737,['ENSCSAG00000018484.1']
6738,[]
6739,['FAM83B']
6740,[]
6741,['RANBP2']
6742,['ELAVL4']
6743,[]
6744,[]
6745,['NIPSNAP3A']
6746,[]
6747,['PTPMT1']
6748,[]
6749,[]
6750,[]
6751,[]
6752,['TAF12']
6753,"['ENSCSAG00000005327.1', 'ENSCSAG00000019010.1']"
6754,[]
6755,[]
6756,['ENSCSAG00000006076.1']
6757,[]
6758,[]
6759,[]
6760,[]
6761,[]
6762,[]
6763,[]
6764,[]
6765,[]
6766,[]
6767,[]
6768,[]
6769,[]
6770,[]
6771,[]
6772,['UQCRB']
6773,[]
6774,[]
6775,['DSG1']
6776,[]
6777,[]
6778,[]
6779,[]
6780,[]
6781,['SORBS2']
6782,[]
6783,[]
6784,[]
6785,[]
6786,[]
6787,['OR12D3']
6788,[]
6789,"['ENSCSAG00000007955.1', 'ENSCSAG00000008585.1', 'ENSCSAG00000014668.1']"
6790,['SKA3']
6791,['METAP1D']
6792,[]
6793,[]
6794,[]
6795,[]
6796,['MZB1']
6797,[]
6798,[]
6799,[]
6800,[]
6801,[]
6802,['NDUFS2']
6803,['ENSCSAG00000018791.1']
6804,[]
6805,[]
6806,[]
6807,[]
6808,[]
6809,[]
6810,[]
6811,[]
6812,[]
6813,[]
6814,[]
6815,['PRMT9']
6816,[]
6817,[]
6818,[]
6819,[]
6820,[]
6821,[]
6822,[]
6823,['NXPH3']
6824,[]
6825,[]
6826,[]
6827,[]
6828,[]
6829,[]
6830,[]
6831,[]
6832,[]
6833,[]
6834,['HERC2']
6835,[]
6836,[]
6837,['RFTN1']
6838,[]
6839,[]
6840,[]
6841,['ENSCSAG00000005164.1']
6842,[]
6843,[]
6844,['HHIPL1']
6845,[]
6846,[]
6847,[]
6848,['ENSCSAG00000007182.1']
6849,[]
6850,[]
6851,[]
6852,[]
6853,['DGCR2']
6854,[]
6855,[]
6856,[]
6857,[]
6858,[]
6859,[]
6860,[]
6861,[]
6862,[]
6863,[]
6864,[]
6865,[]
6866,[]
6867,[]
6868,[]
6869,['SH2D1B']
6870,[]
6871,[]
6872,[]
6873,[]
6874,[]
6875,[]
6876,[]
6877,[]
6878,[]
6879,['SDK1']
6880,[]
6881,['ENSCSAG00000005883.1']
6882,[]
6883,[]
6884,['ADGRL3']
6885,[]
6886,[]
6887,[]
6888,[]
6889,[]
6890,[]
6891,[]
6892,[]
6893,[]
6894,[]
6895,[]
6896,[]
6897,[]
6898,[]
6899,[]
6900,[]
6901,['FABP7']
6902,['ARNTL2']
6903,['SPATS2']
6904,[]
6905,[]
6906,[]
6907,[]
6908,['ENSCSAG00000007903.1']
6909,[]
6910,[]
6911,[]
6912,['GDE1']
6913,[]
6914,[]
6915,['CCL13']
6916,[]
6917,['HEBP2']
6918,[]
6919,['RMND1']
6920,[]
6921,[]
6922,[]
6923,['ACP6']
6924,[]
6925,[]
6926,[]
6927,[]
6928,['SERPINF2']
6929,[]
6930,['GHSR']
6931,['MSRA']
6932,[]
6933,[]
6934,['STK24']
6935,[]
6936,['SHROOM3']
6937,['SLC37A2']
6938,['ARID2']
6939,[]
6940,['TBC1D2B']
6941,['SMARCE1']
6942,['ARHGEF37']
6943,['ENSCSAG00000005941.1']
6944,['ENSCSAG00000002408.1']
6945,['EPHA4']
6946,['CCDC172']
6947,[]
6948,[]
6949,[]
6950,['DDX20']
6951,[]
6952,['ENSCSAG00000001449.1']
6953,['FANCI']
6954,['RAD51AP2']
6955,[]
6956,['CBX2']
6957,['TUBD1']
6958,[]
6959,[]
6960,[]
6961,[]
6962,[]
6963,[]
6964,[]
6965,['GPHA2']
6966,['VIPAS39']
6967,['DCUN1D1']
6968,[]
6969,[]
6970,[]
6971,[]
6972,[]
6973,['PSMD12']
6974,[]
6975,['VAPB']
6976,[]
6977,['KIRREL1']
6978,[]
6979,[]
6980,['POLR3D']
6981,['TYSND1']
6982,['NEIL3']
6983,['STIM1']
6984,[]
6985,[]
6986,[]
6987,[]
6988,['MAIP1']
6989,[]
6990,[]
6991,[]
6992,['STRADA']
6993,['HOGA1']
6994,['ZNF592']
6995,[]
6996,[]
6997,[]
6998,['AMER3']
6999,['EPDR1']
7000,[]
7001,['NUF2']
7002,[]
7003,[]
7004,['LPAR1']
7005,[]
7006,['BRCA2']
7007,[]
7008,['TIGD2']
7009,['JUND']
7010,['APAF1']
7011,[]
7012,[]
7013,['SCARB2']
7014,['LRSAM1']
7015,['BNIP1']
7016,[]
7017,[]
7018,[]
7019,[]
7020,[]
7021,[]
7022,['SLC4A10']
7023,[]
7024,[]
7025,[]
7026,[]
7027,['DDX1']
7028,['ZNF311']
7029,[]
7030,['ENSCSAG00000011327.1']
7031,[]
7032,['IFIT1B']
7033,[]
7034,['CDC73']
7035,['ZNF664']
7036,[]
7037,['ENSCSAG00000010707.1']
7038,[]
7039,['FBXO43']
7040,[]
7041,[]
7042,['INHBC']
7043,[]
7044,['ZNF397']
7045,['ERP44']
7046,[]
7047,['ISLR']
7048,[]
7049,[]
7050,['ANKRD50']
7051,[]
7052,['RAB11FIP2']
7053,[]
7054,[]
7055,[]
7056,[]
7057,[]
7058,[]
7059,[]
7060,[]
7061,[]
7062,['LRRC52']
7063,[]
7064,[]
7065,[]
7066,[]
7067,[]
7068,[]
7069,[]
7070,['GPBP1']
7071,[]
7072,[]
7073,[]
7074,[]
7075,[]
7076,['NSL1']
7077,[]
7078,[]
7079,[]
7080,[]
7081,[]
7082,[]
7083,[]
7084,[]
7085,[]
7086,[]
7087,[]
7088,['CCDC113']
7089,[]
7090,['ENSCSAG00000019521.1']
7091,[]
7092,['ANKRD30B']
7093,[]
7094,[]
7095,['ZFP28']
7096,[]
7097,[]
7098,[]
7099,[]
7100,[]
7101,['ALMS1']
7102,[]
7103,['MYRIP']
7104,[]
7105,[]
7106,[]
7107,[]
7108,['CRCP']
7109,['UIMC1']
7110,[]
7111,[]
7112,[]
7113,['GALNT7']
7114,[]
7115,[]
7116,['LIPM']
7117,[]
7118,[]
7119,['SLC49A4']
7120,[]
7121,[]
7122,[]
7123,"['ENSCSAG00000019565.1', 'ENSCSAG00000019566.1']"
7124,['MBNL3']
7125,['EYA4']
7126,[]
7127,['ENSCSAG00000009335.1']
7128,[]
7129,[]
7130,['ENSCSAG00000003917.1']
7131,[]
7132,['PLEKHG3']
7133,['COMP']
7134,['DRGX']
7135,['ZNF23']
7136,['LRRC8A']
7137,['ENSCSAG00000016494.1']
7138,['STPG3']
7139,['SSH2']
7140,['DNAI4']
7141,[]
7142,[]
7143,['DLG3']
7144,['ENSCSAG00000000698.1']
7145,[]
7146,['METTL4']
7147,['ABCB5']
7148,['AGTRAP']
7149,['RNASE8']
7150,[]
7151,[]
7152,[]
7153,[]
7154,[]
7155,[]
7156,[]
7157,[]
7158,[]
7159,['AQP4']
7160,[]
7161,[]
7162,['BSG']
7163,[]
7164,['IL23A']
7165,['SGF29']
7166,['MUC7']
7167,[]
7168,['TET3']
7169,[]
7170,['CENPC']
7171,[]
7172,[]
7173,[]
7174,[]
7175,[]
7176,[]
7177,[]
7178,['NTN3']
7179,[]
7180,['ENSCSAG00000013191.1']
7181,[]
7182,[]
7183,[]
7184,[]
7185,[]
7186,[]
7187,['ARMC6']
7188,[]
7189,['ARHGAP11A']
7190,['NUS1']
7191,[]
7192,[]
7193,[]
7194,[]
7195,[]
7196,['CCR3']
7197,[]
7198,['RRP1']
7199,[]
7200,[]
7201,[]
7202,[]
7203,[]
7204,[]
7205,['VAMP8']
7206,['ZNF106']
7207,[]
7208,[]
7209,['RAG1']
7210,[]
7211,[]
7212,[]
7213,['LAMTOR2']
7214,[]
7215,[]
7216,[]
7217,[]
7218,['GPR4']
7219,[]
7220,['ZNF442']
7221,['ENSCSAG00000006661.1']
7222,['ZNF700']
7223,['SPTAN1']
7224,['PGBD5']
7225,['NCR1']
7226,[]
7227,['HMGCLL1']
7228,['SLC40A1']
7229,[]
7230,['B4GALNT2']
7231,['ARHGAP9']
7232,[]
7233,[]
7234,[]
7235,['IFNA8']
7236,[]
7237,['ZNF426']
7238,['GNE']
7239,[]
7240,['SPSB1']
7241,['EREG']
7242,[]
7243,[]
7244,[]
7245,['LDB1']
7246,[]
7247,[]
7248,[]
7249,[]
7250,['PGM1']
7251,[]
7252,['IZUMO1R']
7253,[]
7254,[]
7255,[]
7256,['CCN4']
7257,['DACT2']
7258,['RBSN']
7259,[]
7260,['TMEM190']
7261,[]
7262,['AP3B1']
7263,[]
7264,['PNCK']
7265,[]
7266,[]
7267,['LIX1']
7268,['NTNG2']
7269,['FCAR']
7270,[]
7271,['DNASE1L3']
7272,['MYOC']
7273,[]
7274,[]
7275,['GOLPH3L']
7276,[]
7277,['FGL2']
7278,[]
7279,[]
7280,[]
7281,[]
7282,['SNRNP48']
7283,[]
7284,[]
7285,['AGBL5']
7286,[]
7287,['KCTD18']
7288,[]
7289,['GRIN2B']
7290,[]
7291,[]
7292,[]
7293,[]
7294,['CD3D']
7295,['PORCN']
7296,[]
7297,['ENSCSAG00000008053.1']
7298,['ACP2']
7299,[]
7300,[]
7301,['ZNF14']
7302,['CLDN18']
7303,[]
7304,['ZNF79']
7305,[]
7306,[]
7307,[]
7308,[]
7309,['PLEKHA6']
7310,['KANSL2']
7311,['C11orf49']
7312,['ZNF778']
7313,[]
7314,['DPYSL2']
7315,[]
7316,['ADAMTS14']
7317,[]
7318,[]
7319,[]
7320,['CACNB3']
7321,['GEMIN4']
7322,[]
7323,[]
7324,[]
7325,['EDDM3B']
7326,[]
7327,[]
7328,['SERPINA10']
7329,[]
7330,[]
7331,['RAD51B']
7332,['OMA1']
7333,[]
7334,[]
7335,[]
7336,[]
7337,['MMP1']
7338,[]
7339,['PLCD1']
7340,[]
7341,[]
7342,['RANBP9']
7343,[]
7344,[]
7345,[]
7346,['ENSCSAG00000018939.1']
7347,[]
7348,[]
7349,[]
7350,['ATXN7L1']
7351,[]
7352,['ANKS4B']
7353,[]
7354,['PSD2']
7355,['SHC1']
7356,['STAT5A']
7357,['ZNF169']
7358,[]
7359,['WDR38']
7360,[]
7361,['NSUN7']
7362,['TAF4B']
7363,[]
7364,['ASAP2']
7365,[]
7366,[]
7367,[]
7368,[]
7369,[]
7370,['KIAA0895L']
7371,['TFEB']
7372,['POLR1F']
7373,[]
7374,[]
7375,[]
7376,[]
7377,['TMC3']
7378,['CCDC54']
7379,[]
7380,[]
7381,[]
7382,['PHYKPL']
7383,[]
7384,['TNFRSF9']
7385,[]
7386,[]
7387,['ZNF334']
7388,['NTRK2']
7389,['AASS']
7390,[]
7391,[]
7392,[]
7393,['HSD17B13']
7394,['DEFB125']
7395,[]
7396,[]
7397,[]
7398,['AP1AR']
7399,[]
7400,[]
7401,[]
7402,[]
7403,['MED12L']
7404,['ANKRD40CL']
7405,[]
7406,[]
7407,[]
7408,[]
7409,[]
7410,['ENSCSAG00000006655.1']
7411,[]
7412,[]
7413,['AIMP1']
7414,['NTHL1']
7415,[]
7416,['H2BC21']
7417,[]
7418,[]
7419,['KLHL2']
7420,[]
7421,[]
7422,[]
7423,['SMAD2']
7424,['CSPP1']
7425,[]
7426,['MYF6']
7427,['ZC3HAV1']
7428,['DYRK2']
7429,[]
7430,['KIRREL3']
7431,['FLRT2']
7432,[]
7433,['ALDH4A1']
7434,[]
7435,['SCN4B']
7436,[]
7437,[]
7438,[]
7439,['ENSCSAG00000008785.1']
7440,[]
7441,[]
7442,[]
7443,['ACP6']
7444,[]
7445,[]
7446,['LDLRAD3']
7447,[]
7448,[]
7449,[]
7450,['ENSCSAG00000009888.1']
7451,[]
7452,[]
7453,['BAG4']
7454,[]
7455,[]
7456,[]
7457,['ENSCSAG00000000609.1']
7458,['XRN2']
7459,[]
7460,[]
7461,[]
7462,[]
7463,['C16orf46']
7464,[]
7465,[]
7466,['ESF1']
7467,[]
7468,['RFFL']
7469,['GJB3']
7470,[]
7471,[]
7472,[]
7473,[]
7474,[]
7475,[]
7476,[]
7477,[]
7478,['TTC39B']
7479,[]
7480,['CDH5']
7481,['NCAPH2']
7482,[]
7483,[]
7484,['FLNC']
7485,['ARL4C']
7486,[]
7487,[]
7488,['EPHB2']
7489,['GRIA4']
7490,[]
7491,['MDFIC']
7492,['ENSCSAG00000007955.1']
7493,['RNASE4']
7494,['ITGA8']
7495,['ENSCSAG00000006524.1']
7496,['TTC38']
7497,[]
7498,['CEMIP']
